"ITEM","CONDITION","DIRECTIONAL","TEMPORAL","VERB","SENTENCE","TYPE","ANSWER1","ANSWER2","LIST"
191,101,".",".",".","Die Friseurin*schminkte*den Hamster*am Morgen,*indem*sie*die Pinsel*unter die Oberhaut gespritzte.","filler","ja","nein",3
192,101,".",".",".","Die Maurer*wuschen*den Kuchen*mit Seife,*während*die Lackierer*den Bruttoverdienst*abbauten.","filler","ja","nein",3
193,100,".",".",".","Die Frau*las*ungern*auf den Handschriften,*bevor*die Dokumente*überprüft wurden.","filler","ja","nein",3
194,100,".",".",".","Die Nonne*betete*leidenschaftlich*über dem Altar,*bevor*sie*die Kapelle*verließ.","filler","ja","nein",3
195,101,".",".",".","Keine Gurke*stand*auf dem Kind,*wobei*die Teppiche*mehrere Menschen*umgebracht hatten.","filler","ja","nein",3
196,100,".",".",".","Der Hubschrauber*landete*auf dem*Flughafen,*obwohl*die Besatzung*keine Erlaubnis*hatte.","filler","ja","nein",3
1001,0,".",".",".","In Internetforen*diskutierten*Eltern,*bevor*sie*mit den Lehrern*sprachen.","exercise","ja","nein",3
1002,0,".",".",".","Beide Birnen*wurden*von Freiwilligen betrieben,*wobei*es*an der Buchhaltung haperte.","exercise","ja","nein",3
1003,0,".",".",".","Das Fruchtfleisch*sang*ein Lied,*bevor*die Frucht*klagte.","exercise","ja","nein",3
1004,0,".",".",".","Das Kind*klagte*über Schmerzen,*während*die Mutter*Milchreis kochte.","exercise","ja","nein",3
1005,0,".",".",".","Das Paar*hatte*vier Kinder,*aber*wollte*nur zwei.","exercise","ja","nein",3
1006,0,".",".",".","Das Team*wollte*kein Spiel*gewinnen,*während*es dem Trainer*egal war.","exercise","ja","nein",3
1007,0,".",".",".","Der Bundesrat*schien*sich zu treffen,*während*die Journalisten*vor der Türe warteten.","exercise","ja","nein",3
1008,0,".",".",".","Die UN*riefen*Myanmar dazu auf,*die Verfolgung*der Rohingya*zu beenden.","exercise","ja","nein",3
1009,0,".",".",".","Der Schwerpunkt*änderte sich,*während*der Radrennfahrer*zur Seite kippte.","exercise","ja","nein",3
1,7,"telic","completive","atelic","Der Lehrer*spazierte*zum*Schulhof,*und zwar*in zwei Minuten,*mit*großen Schritten.","item","ja","nein",4
2,8,"telic","completive","telic","Der Ingenieur*ging*zur*Großbaustelle,*und zwar*in zwanzig Minuten,*mit*höchster Konzentration.","item","ja","nein",4
3,1,"ambiguous","durative","atelic","Der Mann*spazierte*über den*Bahnhofsvorplatz,*und zwar*eine Minute lang,*bei*kaltem Nieselregen.","item","ja","nein",4
4,2,"ambiguous","durative","telic","Der Rentner*ging*über den*Friedhof,*und zwar*zwölf Minuten lang,*in Gedanken*versunken.","item","ja","nein",4
5,6,"telic","durative","telic","Die Blattlaus*kletterte*zum*Blütenblatt,*und zwar*dreißig Sekunden lang,*unter Beobachtung*des Forschers.","item","ja","nein",4
6,5,"telic","durative","atelic","Der Krebs*wanderte*zum*Korallenriff,*und zwar*eine halbe Stunde lang,*bei*Ebbe.","item","ja","nein",4
7,4,"ambiguous","completive","telic","Der Troll*kletterte*über die*Brücke,*und zwar*in acht Minuten,*um den Schatz*zu verstecken.","item","ja","nein",4
8,3,"ambiguous","completive","atelic","Der Tourist*wanderte*über die*Hochebene,*und zwar*in zwei Stunden,*mit*großer Begeisterung.","item","ja","nein",4
9,7,"telic","completive","atelic","Der Jugendliche*schlenderte*zum*Marktplatz,*und zwar*in vierzig Sekunden,*auf der Suche*nach seiner Freundin.","item","ja","nein",4
10,8,"telic","completive","telic","Der Rennfahrer*raste*zur*Rennstrecke,*und zwar*in sieben Minuten,*unter Beobachtung*der Fans.","item","ja","nein",4
11,1,"ambiguous","durative","atelic","Der Vertreter*schlenderte*über das*Messegelände,*und zwar*dreizehn Minuten lang,*bei*schlechtem Wetter.","item","ja","nein",4
12,2,"ambiguous","durative","telic","Der Händler*raste*über den*Flohmarkt,*und zwar*zehn Minuten lang,*um Schnäppchen*zu ergattern.","item","ja","nein",4
13,6,"telic","durative","telic","Der Trainer*rannte*zum*Sportplatz,*und zwar*zwanzig Sekunden lang,*mit*voller Motivation.","item","ja","nein",4
14,5,"telic","durative","atelic","Der Professor*lief*zum*Brechtbau,*und zwar*fünf Minuten lang,*um einen Vortrag*zu halten.","item","ja","nein",4
15,4,"ambiguous","completive","telic","Die Ratte*rannte*über das*Schiff,*und zwar*in neun Minuten,*ohne den Kater*zu wecken.","item","ja","nein",4
16,3,"ambiguous","completive","atelic","Der Junge*lief*über den*Spielplatz,*und zwar*in drei Minuten,*um seinen Freund*zu finden.","item","ja","nein",4
17,7,"telic","completive","atelic","Die Möwe*segelte*zum*Hafen,*und zwar*in sieben Minuten,*auf Suche*nach Futter.","item","ja","nein",4
18,8,"telic","completive","telic","Der Kormoran*flog*zur*Insel,*und zwar*in zehn Minuten,*bei*brütender Hitze.","item","ja","nein",4
19,1,"ambiguous","durative","atelic","Der Storch*segelte*über den*Sumpf,*und zwar*vierzig Minuten lang,*mit*knurrendem Magen.","item","ja","nein",4
20,2,"ambiguous","durative","telic","Die Crew*flog*über das*Mittelmeer,*und zwar*zwei Stunden lang,*bei*Seenebel.","item","ja","nein",4
21,6,"telic","durative","telic","Der Cowboy*fuhr*zur*Prärie,*und zwar*fünf Tage lang,*in*glühender Hitze.","item","ja","nein",4
22,5,"telic","durative","atelic","Der Offizier*ritt*zum*Schlachtfeld,*und zwar*drei Stunden lang,*in*eisiger Kälte.","item","ja","nein",4
23,4,"ambiguous","completive","telic","Der Bauer*fuhr*über das*Stoppelfeld,*und zwar*in fünfzehn Minuten,*bei*strahlendem Sonnenschein.","item","ja","nein",4
24,3,"ambiguous","completive","atelic","Der Knecht*ritt*über die*Weide,*und zwar*in drei Minuten,*auf Befehl*seines Herrn.","item","ja","nein",4
25,7,"telic","completive","atelic","Der Gefreite*schlich*zum*Kasernenplatz,*und zwar*in sieben Minuten,*auf Befehl*vom Leutnant.","item","ja","nein",4
26,8,"telic","completive","telic","Der Pfadfinder*marschierte*zum*Zeltplatz,*und zwar*in fünf Minuten,*unter der Anleitung*des Rangers.","item","ja","nein",4
27,1,"ambiguous","durative","atelic","Der Ehemann*schlich*über den*Hinterhof,*und zwar*zwei Minuten lang,*unter der Beobachtung*seiner Frau.","item","ja","nein",4
28,2,"ambiguous","durative","telic","Der Soldat*marschierte*über den*Festplatz,*und zwar*zwölf Minuten lang,*mit*konzentriertem Blick.","item","ja","nein",4
29,6,"telic","durative","telic","Das Kind*kroch*zum*Tunnel,*und zwar*drei Minuten lang,*unter der Anleitung*der Sportlehrerin.","item","ja","nein",4
30,5,"telic","durative","atelic","Der Clown*radelte*über zur*Arena,*und zwar*vier Minuten lang,*als Teil*seines Auftritts.","item","ja","nein",4
31,4,"ambiguous","completive","telic","Der Schauspieler*kroch*über die*Bühne,*und zwar*in vier Minuten,*unter der Anleitung*des Regisseurs.","item","ja","nein",4
32,3,"ambiguous","completive","atelic","Der Rekrut*radelte*über das*Gelände,*und zwar*in einer halben Stunde,*in*klirrender Kälte.","item","ja","nein",4
101,100,".",".",".","Das Mädchen*träumte*noch immer*von dem*jungen König,*obwohl*er*verheiratet war.","filler","ja","nein",4
102,101,".",".",".","Der Diamant*kochte*das Holz*aus der Datenbank,*weil*das vorhandene Bildmaterial*aus reinen Texten*bestand.","filler","ja","nein",4
103,101,".",".",".","Der Anwalt*belog*die Brille*beim Abendessen*und*beschimpfte*die Müslischale*dabei.","filler","ja","nein",4
104,101,".",".",".","Das Feuerwehrauto*schimpfte*mit dem Grill*beim Mittagessen,*bevor*es*einen Satelliten*in den Orbit brachte.","filler","ja","nein",4
105,100,".",".",".","Der Pfarrer*blickte*gelassen*in den Altar*und*setzte*die Predigt*fort.","filler","ja","nein",4
106,100,".",".",".","Die Designerin*begeisterte*das Publikum*mit*ihren*femininen*Kreationen.","filler","ja","nein",4
107,100,".",".",".","Der Kandidat*debattierte*mit*den Konkurrenten*auf der Fensterbank,*während*die Sonne *schien.","filler","ja","nein",4
108,101,".",".",".","Der Kaufmann*lachte*mit dem Kissen*und*nahm*keine Rücksicht*auf die Schüler.","filler","ja","nein",4
109,100,".",".",".","Der Komplize*pfiff*laut*durch die Finger,*damit*der Dieb*die Warnung *verstand.","filler","ja","nein",4
110,101,".",".",".","Die Prinzessin*belog*die Blätter*einer Douglasie,*obwohl*sie*das eigentlich*nicht machen wollte.","filler","ja","nein",4
111,101,".",".",".","Linda*goss*den Bademantel*auf der Wiese,*nachdem*der Hochschullehrer*einen erfolgreichen Film*veröffentlichte.","filler","ja","nein",4
112,100,".",".",".","Die Schüler*eilten*aus dem*Schulgebäude,*weil*der Feuermelder*laut*dröhnte.","filler","ja","nein",4
113,100,".",".",".","Der Mitarbeiter*wählte*eine Abkürzung*quer*durch*die Fertigungshalle.","filler","ja","nein",4
114,100,".",".",".","Die Großmutter*fegte*den Boden*mit einem Strohbesen*und*lies*den Staub*aufwirbeln.","filler","ja","nein",4
115,100,".",".",".","Der Chef*kündigte*die Köchin,*weil*ihr Verhalten*unangemessen war.","filler","ja","nein",4
116,100,".",".",".","Die Nutzer*arbeiteten*lange*mit dem Programm,*nachdem*sie*die Funktionen*verstanden hatten.","filler","ja","nein",4
117,100,".",".",".","Der Zauberer*verschwand*auf die*Bühne*mit viel Krach,*während*das Publikum *tobte.","filler","ja","nein",4
118,100,".",".",".","Die Kundin*sprach*den Mitarbeiter*an,*weil*sie*ihren Auftrag*stornieren wollte.","filler","ja","nein",4
119,100,".",".",".","Der Koch*experimentierte*mit*exotischen Speisen,*obwohl*er*nur wenig*Zeit hatte.","filler","ja","nein",4
120,100,".",".",".","Der Ladendieb*gestand*auf dem*Revier,*damit*er*eine Strafmilderung*bekam.","filler","ja","nein",4
121,100,".",".",".","Der Geschäftsmann*kaufte*den Fußballverein*und*hielt*ihn lange*am Leben..","filler","ja","nein",4
122,100,".",".",".","Der Nachbar*schimpfte*mit*dem Hundebesitzer,*weil*seine Geduld*am Ende war.","filler","ja","nein",4
123,100,".",".",".","Das Eichhörnchen*sprang*auf das*Schulgebäude*und*änderte blitzschnell *die Richtung.","filler","ja","nein",4
124,100,".",".",".","Die Künstlerin*arbeitete*mit dem Pinsel*ohne Pause,*denn*sie wollte*den Auftrag*schnell erledigen.","filler","ja","nein",4
125,100,".",".",".","Die Abgeordneten*diskutierten*über das*Thema*und*fanden*einen guten Kompromiss.","filler","ja","nein",4
126,100,".",".",".","Die Gruppe*bastelte*mit den*Perlen,*jedoch*langweilten*sie sich*sehr.","filler","ja","nein",4
127,100,".",".",".","Der Betriebsleiter*suchte*nach*einem Angestellten,*indem*er*ihn ausrufen *ließ.","filler","ja","nein",4
128,100,".",".",".","Der Politiker*sprach*laut*und*beantwortete*alle Fragen*der Journalisten.","filler","ja","nein",4
129,100,".",".",".","Der Bruder*brach*mit*der Schwester,*obwohl*er*darüber*sehr traurig war.","filler","ja","nein",4
130,100,".",".",".","Das Volk*hörte*auf den*Herrscher,*obwohl*die Opposition*davon abriet.","filler","ja","nein",4
131,100,".",".",".","Die Tiere*tranken*aus einer großen Pfütze *mitten auf der Fläche,*weil*sie*sehr durstig*waren.","filler","ja","nein",4
132,100,".",".",".","Der Vorsitzende*erzählte*von dem*Wahlerfolg*und*prahlte*mit den*eindeutigen Ergebnissen.","filler","ja","nein",4
133,100,".",".",".","Der Passagier*fragte*über den*Kabinendruck*und*lauschte neugierig*der Antwort*des Flugbegleiters.","filler","ja","nein",4
134,100,".",".",".","Das Baby*tanzte*fröhlich*im Kindersitz,*als*es*die lustige Musik*hörte.","filler","ja","nein",4
135,100,".",".",".","Die Buben*glaubten*an den*Weihnachtsmann,*nachdem*ihr Opa*die Geschichte*erzählt hatte.","filler","ja","nein",4
136,100,".",".",".","Die Klasse*plante*einen Ausflug*ins Gebirge,*wo*sie*in den Jugendherberge*übernachten sollte.","filler","ja","nein",4
137,100,".",".",".","Der Hirsch*starrte*gebannt*in den Wald *und*lauschte*den Geräuschen*der Umgebung.","filler","ja","nein",4
138,100,".",".",".","Der Professor*berichtete*von der*langweiligen Urlaubsreise,*bevor*er*in den Saal*kam.","filler","ja","nein",4
139,100,".",".",".","Die Putzfrau*wischte sich*die Finger*am Kittel sauber*und*verstaute*die Dosen*im Kühlfach.","filler","ja","nein",4
140,100,".",".",".","Der Tierarzt*untersuchte*den Kater*und*konnte*keine äußeren Verletzungen*feststellen.","filler","ja","nein",4
141,100,".",".",".","Die Politikerin*hungerte*in einem*finsteren Gefängnis,*obwohl*sie*vollkommen*unschuldig war.","filler","ja","nein",4
142,100,".",".",".","Die Kanzlerin*reagierte*überrascht,*aber*nicht*allzu enttäuscht.","filler","ja","nein",4
143,101,".",".",".","Der Mann*unterstützte*die Kühe,*indem*er*ihnen*spezielle Reizwäsche*aus Frankreich brachte.","filler","ja","nein",4
144,101,".",".",".","Die Konditorin*unterschrieb*das Glück*ohne nachzudenken,*wobei*sich die Lage*mit jedem Tag*verschlechterte.","filler","ja","nein",4
145,100,".",".",".","Der Fahrer*rief*den Kunden*vor der Abholung an,*um*den Termin*zu bestätigen.","filler","ja","nein",4
146,101,".",".",".","Die Informatikerin*kuschelte*mit dem Buch,*da*der Zugang*von Osten*seit Wochen*gesperrt war.","filler","ja","nein",4
147,101,".",".",".","Die Tomate*schuppte*das Wasser*aus der Tasse,*nachdem*sie*nach Frankreich*emigrierte.","filler","ja","nein",4
148,101,".",".",".","Der Elefant*aß*einen Locher*in der Garage,*aber*beschränkte sich*nur auf*die Plastikteile.","filler","ja","nein",4
149,101,".",".",".","Die Hexe*erklärte*den Kopf,*als*die alte Frau*auf dem Zaun*saß.","filler","ja","nein",4
150,100,".",".",".","Die Kinder*spielten*ganz leise*über den Spielplatz,*damit*sie*nicht entdeckt wurden.","filler","ja","nein",4
151,100,".",".",".","Der Hausmeister*suchte*nach*einer Kerze,*da*der Strom*ausgefallen war.","filler","ja","nein",4
152,101,".",".",".","Die Amsel*zählte*die Ameisen*im Garten,*jedoch*unterbrach*ihr*der Tischler.","filler","ja","nein",4
153,100,".",".",".","Der Bankangestellte*stieg*ungern*aus dem Bett,*da*ein harter Tag*bevorstand.","filler","ja","nein",4
154,100,".",".",".","Der Matrose*stand*stolz*auf dem Mast,*während*das Schiff*im Hafen*ruhte.","filler","ja","nein",4
155,100,".",".",".","Die Mutter*sprach*mit*ihrer Tochter,*als*diese*nach Hause kam.","filler","ja","nein",4
156,101,".",".",".","Der Opa*gewann*alle Steine*im Wettbewerb*bei*dem Hammer*im Wald.","filler","ja","nein",4
157,100,".",".",".","Der Fußballspieler*wartete*auf seine*Freundin,*weil*er sie*überraschen wollte.","filler","ja","nein",4
158,101,".",".",".","Die Gemeinde*hoffte*auf die Außerirdischen,*jedoch*gab es*schon seit Jahren*keine neuen Entführungen.","filler","ja","nein",4
159,100,".",".",".","Der Vogel*zwitscherte*in der*Baumkrone*und*erfreute*die umstehenden*Menschen.","filler","ja","nein",4
160,100,".",".",".","Der Manager*lobte*die Praktikantin,*weil*sie*sehr kreativ*und*motiviert war.","filler","ja","nein",4
161,100,".",".",".","Der Büroangestellte*berichtete*von dem*Vertrag,*als*der Chef*ihn*dazu aufforderte.","filler","ja","nein",4
162,100,".",".",".","Die Angestellte*arbeitete*ungern*an dem Brief,*da*sie*Überstunden*machen musste.","filler","ja","nein",4
163,100,".",".",".","Die Reitschüler*eilten*über die*Stahltür*und*versteckten sich*hinter den*Strohballen.","filler","ja","nein",4
164,101,".",".",".","Die Schwester*hielt*eine Flasche*mit Wasser,*um*die Seele*vom Körper*zu trennen.","filler","ja","nein",4
165,100,".",".",".","Die Liebhaberin*weinte*aus Wut*und*zerstörte*all*die Erinnerungsfotos.","filler","ja","nein",4
166,100,".",".",".","Der Erstklässler*schrieb*unleserlich*in sein Heft,*obwohl*er*ein guter*Schüler war.","filler","ja","nein",4
167,100,".",".",".","Der Held*hat*große Taten*vollbracht,*aber*die Prinzessin*wollte ihn*nicht heiraten.","filler","ja","nein",4
168,100,".",".",".","Die Schwimmerin*stieg*aus dem*Wasser am Strand,*als*es*zu dämmern*begann.","filler","ja","nein",4
169,100,".",".",".","Der Kommissar*antwortete*auf die Fragen*der Reporter*und*übte sich*dabei*in Geduld.","filler","ja","nein",4
170,101,".",".",".","Die Busfahrerin*würzte*den Kaffee*mit Kardamom,*um*die Bücher*schwimmen zu lassen.","filler","ja","nein",4
171,101,".",".",".","Ein Applaus*öffnete*die Tasse*im März,*jedoch*mangelte es*an Literatur*und Weblinks.","filler","ja","nein",4
172,100,".",".",".","Der Achtklässler*lernte*fleißig*aus dem Lehrbuch,*da*er*bald einen Test*schreiben musste.","filler","ja","nein",4
173,100,".",".",".","Der Künstler*malte*auch*schöne Menschen*und*dramatische Stadtszenen.","filler","ja","nein",4
174,100,".",".",".","Der Vater*schimpfte*sehr laut*mit dem Sohn,*als*er*von den schlechten Schulnoten*erfuhr.","filler","ja","nein",4
175,101,".",".",".","Der Flaschner*zersägte*die Zeitschrift*und*verarbeitete*sie*zur Dachrinne.","filler","ja","nein",4
176,101,".",".",".","Der Schaffner*verkleidete*die Münze*zum Fasching,*indem*er*ihr*eine Maske anzog.","filler","ja","nein",4
177,101,".",".",".","Die Handwerkerin*schlug*den Salat*mit einer Gabel,*damit*die Firmenleitung*den Unternehmensvorstand*verkauft.","filler","ja","nein",4
178,101,".",".",".","Der Mechaniker*lackierte sich*die Wimpern*vor dem Spiegel,*weil*er*einen sehr großen Schädel*hatte.","filler","ja","nein",4
179,101,".",".",".","Der Elektriker*las*ein Buch*über Nashörner,*während*seine Tochter*den Panzer*schrumpfte.","filler","ja","nein",4
180,101,".",".",".","Die Zahnärztin*sprach*mit dem Briefkasten*über ihre Urlaubspläne,*da*diese*mit nach Mallorca*fahren sollte.","filler","ja","nein",4
181,100,".",".",".","Der Regisseur*dachte*besorgt*an die Aufführung,*als*er*das Theater*betrat.","filler","ja","nein",4
182,101,".",".",".","Die Köchin*stritt*mit dem Kellner*wegen Kleinigkeiten,*weil*der Tintenfisch*einen Gepäckspanner*stornierte.","filler","ja","nein",4
183,101,".",".",".","Das Publikum*trank*die Muffins*mit Schokolade,*während*der Schauspieler*mit einem Pinguin*schwamm.","filler","ja","nein",4
184,100,".",".",".","Die Angeklagte*gestand*die Taten*vor Gericht *und*wurde*zur Todesstrafe*verurteilt.","filler","ja","nein",4
185,100,".",".",".","Der Athlet*trainierte*wenig*und*völlig*unsystematisch.","filler","ja","nein",4
186,101,".",".",".","Die Diebin*druckte*das Auto*auf öffentlichen Straßen,*aber*die Kosten*hat sie*unterschätzt.","filler","ja","nein",4
187,100,".",".",".","Der Verdächtige*sprach*mit*schneller Stimme*und*räusperte sich*immer wieder.","filler","ja","nein",4
188,101,".",".",".","Die Wolle*drohte*dem Topf*mit dem Messer,*wobei*die Sonne*sich hinter den Sternen*versteckte.","filler","ja","nein",4
189,100,".",".",".","Die Kellnerin*bediente*seit mehreren Stunden*in dem Café*und*es taten*ihr*die Füße weh.","filler","ja","nein",4
190,101,".",".",".","Die Frau*verlor*ein Haar*und*der Mann*küsste*die Banane.","filler","ja","nein",4
191,101,".",".",".","Die Friseurin*schminkte*den Hamster*am Morgen,*indem*sie*die Pinsel*unter die Oberhaut gespritzte.","filler","ja","nein",4
192,101,".",".",".","Die Maurer*wuschen*den Kuchen*mit Seife,*während*die Lackierer*den Bruttoverdienst*abbauten.","filler","ja","nein",4
193,100,".",".",".","Die Frau*las*ungern*auf den Handschriften,*bevor*die Dokumente*überprüft wurden.","filler","ja","nein",4
194,100,".",".",".","Die Nonne*betete*leidenschaftlich*über dem Altar,*bevor*sie*die Kapelle*verließ.","filler","ja","nein",4
195,101,".",".",".","Keine Gurke*stand*auf dem Kind,*wobei*die Teppiche*mehrere Menschen*umgebracht hatten.","filler","ja","nein",4
196,100,".",".",".","Der Hubschrauber*landete*auf dem*Flughafen,*obwohl*die Besatzung*keine Erlaubnis*hatte.","filler","ja","nein",4
1001,0,".",".",".","In Internetforen*diskutierten*Eltern,*bevor*sie*mit den Lehrern*sprachen.","exercise","ja","nein",4
1002,0,".",".",".","Beide Birnen*wurden*von Freiwilligen betrieben,*wobei*es*an der Buchhaltung haperte.","exercise","ja","nein",4
1003,0,".",".",".","Das Fruchtfleisch*sang*ein Lied,*bevor*die Frucht*klagte.","exercise","ja","nein",4
1004,0,".",".",".","Das Kind*klagte*über Schmerzen,*während*die Mutter*Milchreis kochte.","exercise","ja","nein",4
1005,0,".",".",".","Das Paar*hatte*vier Kinder,*aber*wollte*nur zwei.","exercise","ja","nein",4
1006,0,".",".",".","Das Team*wollte*kein Spiel*gewinnen,*während*es dem Trainer*egal war.","exercise","ja","nein",4
1007,0,".",".",".","Der Bundesrat*schien*sich zu treffen,*während*die Journalisten*vor der Türe warteten.","exercise","ja","nein",4
1008,0,".",".",".","Die UN*riefen*Myanmar dazu auf,*die Verfolgung*der Rohingya*zu beenden.","exercise","ja","nein",4
1009,0,".",".",".","Der Schwerpunkt*änderte sich,*während*der Radrennfahrer*zur Seite kippte.","exercise","ja","nein",4
1,3,"ambiguous","completive","atelic","Der Lehrer*spazierte*über den*Schulhof,*und zwar*in zwei Minuten,*mit*großen Schritten.","item","nein","ja",5
2,7,"telic","completive","atelic","Der Ingenieur*spazierte*zur*Großbaustelle,*und zwar*in zwanzig Minuten,*mit*höchster Konzentration.","item","nein","ja",5
3,8,"telic","completive","telic","Der Mann*ging*zum*Bahnhofsvorplatz,*und zwar*in eine Minute,*bei*kaltem Nieselregen.","item","nein","ja",5
4,1,"ambiguous","durative","atelic","Der Rentner*spazierte*über den*Friedhof,*und zwar*zwölf Minuten lang,*in Gedanken*versunken.","item","nein","ja",5
5,2,"ambiguous","durative","telic","Die Blattlaus*kletterte*über das*Blütenblatt,*und zwar*dreißig Sekunden lang,*unter Beobachtung*des Forschers.","item","nein","ja",5
6,6,"telic","durative","telic","Der Krebs*kletterte*zum*Korallenriff,*und zwar*eine halbe Stunde lang,*bei*Ebbe.","item","nein","ja",5
7,5,"telic","durative","atelic","Der Troll*wanderte*zur*Brücke,*und zwar*acht Minuten lang,*um den Schatz*zu verstecken.","item","nein","ja",5
8,4,"ambiguous","completive","telic","Der Tourist*kletterte*über die*Hochebene,*und zwar*in zwei Stunden,*mit*großer Begeisterung.","item","nein","ja",5
9,3,"ambiguous","completive","atelic","Der Jugendliche*schlenderte*über den*Marktplatz,*und zwar*in vierzig Sekunden,*auf der Suche*nach seiner Freundin.","item","nein","ja",5
10,7,"telic","completive","atelic","Der Rennfahrer*schlenderte*zur*Rennstrecke,*und zwar*in sieben Minuten,*unter Beobachtung*der Fans.","item","nein","ja",5
11,8,"telic","completive","telic","Der Vertreter*raste*zum*Messegelände,*und zwar*in dreizehn Minuten,*bei*schlechtem Wetter.","item","nein","ja",5
12,1,"ambiguous","durative","atelic","Der Händler*schlenderte*über den*Flohmarkt,*und zwar*zehn Minuten lang,*um Schnäppchen*zu ergattern.","item","nein","ja",5
13,2,"ambiguous","durative","telic","Der Trainer*rannte*über den*Sportplatz,*und zwar*zwanzig Sekunden lang,*mit*voller Motivation.","item","nein","ja",5
14,6,"telic","durative","telic","Der Professor*rannte*zum*Brechtbau,*und zwar*fünf Minuten lang,*um einen Vortrag*zu halten.","item","nein","ja",5
15,5,"telic","durative","atelic","Die Ratte*lief*zum*Schiff,*und zwar*neun Minuten lang,*ohne den Kater*zu wecken.","item","nein","ja",5
16,4,"ambiguous","completive","telic","Der Junge*rannte*über den*Spielplatz,*und zwar*in drei Minuten,*um seinen Freund*zu finden.","item","nein","ja",5
17,3,"ambiguous","completive","atelic","Die Möwe*segelte*über den*Hafen,*und zwar*in sieben Minuten,*auf Suche*nach Futter.","item","nein","ja",5
18,7,"telic","completive","atelic","Der Kormoran*segelte*zur*Insel,*und zwar*in zehn Minuten,*bei*brütender Hitze.","item","nein","ja",5
19,8,"telic","completive","telic","Der Storch*flog*zum*Sumpf,*und zwar*in vierzig Minuten,*mit*knurrendem Magen.","item","nein","ja",5
20,1,"ambiguous","durative","atelic","Die Crew*segelte*über das*Mittelmeer,*und zwar*zwei Stunden lang,*bei*Seenebel.","item","nein","ja",5
21,2,"ambiguous","durative","telic","Der Cowboy*fuhr*über die*Prärie,*und zwar*fünf Tage lang,*in*glühender Hitze.","item","nein","ja",5
22,6,"telic","durative","telic","Der Offizier*fuhr*zum*Schlachtfeld,*und zwar*drei Stunden lang,*in*eisiger Kälte.","item","nein","ja",5
23,5,"telic","durative","atelic","Der Bauer*ritt*zum*Stoppelfeld,*und zwar*fünfzehn Minuten lang,*bei*strahlendem Sonnenschein.","item","nein","ja",5
24,4,"ambiguous","completive","telic","Der Knecht*fuhr*über die*Weide,*und zwar*in drei Minuten,*auf Befehl*seines Herrn.","item","nein","ja",5
25,3,"ambiguous","completive","atelic","Der Gefreite*schlich*über den*Kasernenplatz,*und zwar*in sieben Minuten,*auf Befehl*vom Leutnant.","item","nein","ja",5
26,7,"telic","completive","atelic","Der Pfadfinder*schlich*zum*Zeltplatz,*und zwar*in fünf Minuten,*unter der Anleitung*des Rangers.","item","nein","ja",5
27,8,"telic","completive","telic","Der Ehemann*marschierte*zum*Hinterhof,*und zwar*in zwei Minuten,*unter der Beobachtung*seiner Frau.","item","nein","ja",5
28,1,"ambiguous","durative","atelic","Der Soldat*schlich*über den*Festplatz,*und zwar*zwölf Minuten lang,*mit*konzentriertem Blick.","item","nein","ja",5
29,2,"ambiguous","durative","telic","Das Kind*kroch*über den*Tunnel,*und zwar*drei Minuten lang,*unter der Anleitung*der Sportlehrerin.","item","nein","ja",5
30,6,"telic","durative","telic","Der Clown*kroch*zur*Arena,*und zwar*vier Minuten lang,*als Teil*seines Auftritts.","item","nein","ja",5
31,5,"telic","durative","atelic","Der Schauspieler*radelte*zur*Bühne,*und zwar*vier Minuten lang,*unter der Anleitung*des Regisseurs.","item","nein","ja",5
32,4,"ambiguous","completive","telic","Der Rekrut*kroch*über das*Gelände,*und zwar*in einer halben Stunde,*in*klirrender Kälte.","item","nein","ja",5
101,100,".",".",".","Das Mädchen*träumte*noch immer*von dem*jungen König,*obwohl*er*verheiratet war.","filler","nein","ja",5
102,101,".",".",".","Der Diamant*kochte*das Holz*aus der Datenbank,*weil*das vorhandene Bildmaterial*aus reinen Texten*bestand.","filler","nein","ja",5
103,101,".",".",".","Der Anwalt*belog*die Brille*beim Abendessen*und*beschimpfte*die Müslischale*dabei.","filler","nein","ja",5
104,101,".",".",".","Das Feuerwehrauto*schimpfte*mit dem Grill*beim Mittagessen,*bevor*es*einen Satelliten*in den Orbit brachte.","filler","nein","ja",5
105,100,".",".",".","Der Pfarrer*blickte*gelassen*in den Altar*und*setzte*die Predigt*fort.","filler","nein","ja",5
106,100,".",".",".","Die Designerin*begeisterte*das Publikum*mit*ihren*femininen*Kreationen.","filler","nein","ja",5
107,100,".",".",".","Der Kandidat*debattierte*mit*den Konkurrenten*auf der Fensterbank,*während*die Sonne *schien.","filler","nein","ja",5
108,101,".",".",".","Der Kaufmann*lachte*mit dem Kissen*und*nahm*keine Rücksicht*auf die Schüler.","filler","nein","ja",5
109,100,".",".",".","Der Komplize*pfiff*laut*durch die Finger,*damit*der Dieb*die Warnung *verstand.","filler","nein","ja",5
110,101,".",".",".","Die Prinzessin*belog*die Blätter*einer Douglasie,*obwohl*sie*das eigentlich*nicht machen wollte.","filler","nein","ja",5
111,101,".",".",".","Linda*goss*den Bademantel*auf der Wiese,*nachdem*der Hochschullehrer*einen erfolgreichen Film*veröffentlichte.","filler","nein","ja",5
112,100,".",".",".","Die Schüler*eilten*aus dem*Schulgebäude,*weil*der Feuermelder*laut*dröhnte.","filler","nein","ja",5
